Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
158,Arizona Coyotes,Patrick Kudla\kudlapa01,CA,D,20,,Oakville (OJHL),,,,,,,,,,,,,
159,Buffalo Sabres,Brandon Hagel\hagelbr01,CA,LW,18,2020,Red Deer (WHL),1,0,0,0,0,0,,,,,,,0.0
160,Montreal Canadiens,Michael Pezzetta\pezzemi01,CA,C,18,,Sudbury (OHL),,,,,,,,,,,,,
161,Colorado Avalanche,Nathan Clurman\clurmna01,US,D,18,,Culver Academy (High-IN),,,,,,,,,,,,,
162,New Jersey Devils,Jesper Bratt\brattje01,SE,W,18,2020,AIK (Sweden-2),185,37,63,100,-30,30,,,,,,,8.8
163,Ottawa Senators,Markus Nurmi\nurmima01,FI,RW,18,,TPS Jr. (Finland-Jr.),,,,,,,,,,,,,
164,Carolina Hurricanes,Noah Carroll\carrono01,CA,D,18,,Guelph (OHL),,,,,,,,,,,,,
165,Boston Bruins,Oskar Steen\steenos01,SE,C,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,,
166,Calgary Flames,Matthew Phillips\phillma01,CA,C,18,,Victoria (WHL),,,,,,,,,,,,,
167,Detroit Red Wings,Filip Larsson\larssfi01,SE,G,18,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,,
168,Nashville Predators,Konstantin Volkov\volkoko02,RU,G,18,,SKA St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,,
169,Philadelphia Flyers,Tanner Laczynski\laczyta01,US,C,19,,Lincoln (USHL),,,,,,,,,,,,,
170,New York Islanders,Collin Adams\adamsco01,US,LW,18,,Muskegon (USHL),,,,,,,,,,,,,
171,New York Rangers,Gabriel Fontaine\fontaga01,CA,C,19,,Rouyn-Noranda (QMJHL),,,,,,,,,,,,,
172,Philadelphia Flyers,Anthony Salinitri\salinan01,CA,C,18,,Sarnia (OHL),,,,,,,,,,,,,
173,Chicago Blackhawks,Blake Hillman\hillmbl01,US,D,20,2018,Denver (NCHC),4,1,0,1,-1,0,,,,,,,0.2
174,New York Rangers,Tyler Wall\wallty01,CA,G,18,,Leamington (GOJHL),,,,,,,,,,,,,
175,Florida Panthers,Maxim Mamin\maminma01,RU,C/RW,21,2019,CSKA (Russia),33,3,1,4,0,12,,,,,,,0.2
176,Dallas Stars,Jakob Stenqvist\stenqja01,SE,D,18,,Modo Jr. (Sweden-Jr.),,,,,,,,,,,,,
177,Washington Capitals,Chase Priskie\priskch01,US,D,20,,Quinnipiac (ECAC),,,,,,,,,,,,,
178,Tampa Bay Lightning,Oleg Sosunov\sosunol01,RU,D,18,,Loko-Yunior Yaroslav (Russia-Jr.),,,,,,,,,,,,,
179,Toronto Maple Leafs,Nicolas Mattinen\mattini01,CA,D,18,,London (OHL),,,,,,,,,,,,,
